Date,Total P&L
2019-01-11,-1579.9999999999727
2019-01-14,-400.0
2019-01-15,-217.49999999997272
2019-01-16,-400.0
2019-01-17,-400.0
2019-01-18,-400.0
2019-01-21,-400.0
2019-01-22,-400.0
2019-01-23,-634.9999999999909
2019-01-24,-400.0
2019-01-25,-117.49999999997272
2019-01-28,-752.4999999999636
2019-01-29,-400.0
2019-01-30,-400.0
2019-01-31,389.9999999999636
2019-02-01,-2087.5
2019-02-04,-400.0
2019-02-05,-400.0
2019-02-06,-400.0
2019-02-07,-400.0
2019-02-08,-400.0
2019-02-11,-400.0
2019-02-12,-400.0
2019-02-13,-315.0000000000091
2019-02-14,-400.0
2019-02-15,-2954.9999999999727
2019-02-18,-457.5000000000273
2019-02-19,-400.0
2019-02-20,-400.0
2019-02-21,-400.0
2019-02-22,-400.0
2019-02-25,-400.0
2019-02-26,-400.0
2019-02-27,-902.4999999999636
2019-02-28,-400.0
2019-03-01,-400.0
2019-03-05,917.5000000000182
2019-03-06,-400.0
2019-03-07,-400.0
2019-03-08,-400.0
2019-03-11,-400.0
2019-03-12,-400.0
2019-03-13,-400.0
2019-03-14,-400.0
2019-03-15,-400.0
2019-03-18,-400.0
2019-03-19,-400.0
2019-03-20,-400.0
2019-03-22,-800.0
2019-03-25,-400.0
2019-03-26,-127.5000000000091
2019-03-27,-817.5000000000182
2019-03-28,210.00000000003638
2019-03-29,-400.0
2019-04-01,-400.0
2019-04-02,-400.0
2019-04-03,-125.0
2019-04-04,-400.0
2019-04-05,-400.0
2019-04-08,-1067.5000000000182
2019-04-09,-422.5000000000364
2019-04-10,-400.0
2019-04-11,-400.0
2019-04-12,-400.0
2019-04-15,-400.0
2019-04-16,-400.0
2019-04-18,-400.0
2019-04-22,-400.0
2019-04-23,-400.0
2019-04-24,-200.0
2019-04-25,-400.0
2019-04-26,-400.0
2019-04-30,-400.0
2019-05-02,-400.0
2019-05-03,-400.0
2019-05-06,-400.0
2019-05-07,657.4999999999818
2019-05-08,-400.0
2019-05-09,-400.0
2019-05-10,-400.0
2019-05-13,-432.4999999999818
2019-05-14,-290.0000000000091
2019-05-15,-287.5
2019-05-16,-322.4999999999909
2019-05-17,580.0000000000182
2019-05-20,1202.4999999999636
2019-05-21,544.9999999999818
2019-05-22,-400.0
2019-05-23,-5825.0
2019-05-24,-4637.5
2019-05-27,-675.0
2019-05-28,-400.0
2019-05-29,-400.0
2019-05-30,-400.0
2019-05-31,-2745.0000000000273
2019-06-03,969.9999999999818
2019-06-04,-400.0
2019-06-06,1032.4999999999818
2019-06-07,-400.0
2019-06-10,-400.0
2019-06-11,-400.0
2019-06-12,-400.0
2019-06-13,-400.0
2019-06-14,-400.0
2019-06-17,450.0
2019-06-18,-400.0
2019-06-19,-1737.5
2019-06-20,1217.5000000000182
2019-06-21,-400.0
2019-06-24,-400.0
2019-06-25,255.0000000000182
2019-06-26,-400.0
2019-06-27,-400.0
2019-06-28,-400.0
2019-07-01,-400.0
2019-07-02,-400.0
2019-07-03,-400.0
2019-07-04,-400.0
2019-07-05,1282.4999999999818
2019-07-08,680.0000000000182
2019-07-09,-400.0
2019-07-10,-400.0
2019-07-11,-400.0
2019-07-12,-400.0
2019-07-15,-400.0
2019-07-16,-400.0
2019-07-17,-400.0
2019-07-18,-400.0
2019-07-19,2142.500000000018
2019-07-22,-400.0
2019-07-23,-400.0
2019-07-24,-947.4999999999909
2019-07-25,-400.0
2019-07-26,-400.0
2019-07-29,-369.9999999999818
2019-07-30,-444.9999999999818
2019-07-31,-400.0
2019-08-01,-1717.5000000000182
2019-08-02,-1142.4999999999727
2019-08-05,-400.0
2019-08-06,-1607.4999999999818
2019-08-07,-400.0
2019-08-08,502.5000000000091
2019-08-09,-1932.4999999999818
2019-08-13,997.4999999999909
2019-08-14,-1795.0000000000273
2019-08-16,-800.0
2019-08-19,-400.0
2019-08-20,-400.0
2019-08-21,-400.0
2019-08-22,714.9999999999636
2019-08-23,1267.5000000000182
2019-08-26,-5844.999999999982
2019-08-27,-400.0
2019-08-28,-1804.9999999999727
2019-08-29,-400.0
2019-08-30,-4100.0
2019-09-03,697.4999999999909
2019-09-04,-400.0
2019-09-05,-400.0
2019-09-06,-400.0
2019-09-09,-300.0
2019-09-11,-400.0
2019-09-12,-400.0
2019-09-13,-102.5000000000091
2019-09-16,-400.0
2019-09-17,684.9999999999909
2019-09-18,-400.0
2019-09-19,-330.0000000000182
2019-09-20,10639.999999999964
2019-09-24,-400.0
2019-09-25,-822.5000000000364
2019-09-26,-772.4999999999909
2019-09-27,-400.0
2019-09-30,-400.0
2019-10-01,1312.5
2019-10-03,-400.0
2019-10-04,2152.500000000009
2019-10-07,-400.0
2019-10-09,1725.0
2019-10-10,-400.0
2019-10-11,-400.0
2019-10-14,-400.0
2019-10-15,-1107.4999999999818
2019-10-16,-400.0
2019-10-17,367.5000000000182
2019-10-18,-444.9999999999818
2019-10-22,-400.0
2019-10-23,-400.0
2019-10-24,-794.9999999999818
2019-10-25,-400.0
2019-10-29,1055.0000000000182
2019-10-30,-400.0
2019-10-31,-400.0
2019-11-01,-400.0
2019-11-04,-400.0
2019-11-05,-400.0
2019-11-06,-1207.4999999999818
2019-11-07,-400.0
2019-11-08,-400.0
2019-11-11,-400.0
2019-11-13,-400.0
2019-11-14,-400.0
2019-11-15,-400.0
2019-11-18,-400.0
2019-11-19,-400.0
2019-11-20,-400.0
2019-11-21,-400.0
2019-11-22,-400.0
2019-11-25,585.0000000000364
2019-11-26,-710.0000000000364
2019-11-27,-400.0
2019-11-28,-400.0
2019-11-29,-400.0
2019-12-02,-400.0
2019-12-03,-400.0
2019-12-04,-400.0
2019-12-05,-400.0
