Date,Total P&L
2019-02-04,0.0
2019-02-05,0.0
2019-02-06,0.0
2019-02-07,0.0
2019-02-08,0.0
2019-02-11,0.0
2019-02-12,0.0
2019-02-13,84.9999999999909
2019-02-14,0.0
2019-02-15,-2554.9999999999727
2019-02-18,-57.500000000027285
2019-02-19,0.0
2019-02-20,0.0
2019-02-21,0.0
2019-02-22,0.0
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,-502.4999999999636
2019-02-28,0.0
2019-03-01,0.0
2019-03-05,1317.5000000000182
2019-03-06,0.0
2019-03-07,0.0
2019-03-08,0.0
2019-03-11,0.0
2019-03-12,0.0
2019-03-13,0.0
2019-03-14,0.0
2019-03-15,0.0
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,0.0
2019-03-22,-400.0
2019-03-25,0.0
2019-03-26,272.4999999999909
2019-03-27,-417.5000000000182
2019-03-28,610.0000000000364
2019-03-29,0.0
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,275.0
2019-04-04,0.0
2019-04-05,0.0
2019-04-08,-667.5000000000182
2019-04-09,-22.50000000003638
2019-04-10,0.0
2019-04-11,0.0
2019-04-12,0.0
2019-04-15,0.0
2019-04-16,0.0
2019-04-18,0.0
2019-04-22,0.0
2019-04-23,0.0
2019-04-24,200.0
2019-04-25,0.0
2019-04-26,0.0
2019-04-30,0.0
2019-05-02,0.0
2019-05-03,0.0
2019-05-06,0.0
2019-05-07,1057.4999999999818
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,0.0
2019-05-13,-32.49999999998181
2019-05-14,109.9999999999909
2019-05-15,112.5
2019-05-16,77.5000000000091
2019-05-17,980.0000000000182
2019-05-20,1602.4999999999636
2019-05-21,944.9999999999818
2019-05-22,0.0
2019-05-23,-5425.0
2019-05-24,-4237.5
2019-05-27,-275.0
2019-05-28,0.0
2019-05-29,0.0
2019-05-30,0.0
2019-05-31,-2345.0000000000273
2019-06-03,1369.9999999999818
2019-06-04,0.0
2019-06-06,1432.4999999999818
2019-06-07,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,0.0
2019-06-14,0.0
2019-06-17,850.0
2019-06-18,0.0
2019-06-19,-1337.5
2019-06-20,1617.5000000000182
2019-06-21,0.0
2019-06-24,0.0
2019-06-25,655.0000000000182
2019-06-26,0.0
2019-06-27,0.0
2019-06-28,0.0
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,0.0
