Date,Total P&L
2018-10-10,-121.46000000001823
2018-10-11,-2184.79
2018-10-12,-965.8249999999907
2018-10-15,-923.3600000000001
2018-10-16,-927.2600000000001
2018-10-17,2742.514999999963
2018-10-19,-916.625
2018-10-22,-468.1849999999995
2018-10-23,-908.8400000000001
2018-10-24,-2825.6749999999997
2018-10-25,-906.6899999999999
2018-10-26,-903.8899999999999
2018-10-29,1760.4349999999995
2018-10-30,-910.8050000000001
2018-10-31,-6354.729999999973
2018-11-01,-920.79
2018-11-02,-1621.209999999991
2018-11-05,-925.8399999999999
2018-11-06,-928.8899999999999
2018-11-09,-927.4200000000001
2018-11-12,66.99999999999045
2018-11-13,-523.3199999999997
2018-11-14,-931.5350000000003
2018-11-15,-929.5
2018-11-16,-932.0250000000001
2018-11-19,-935.9749999999999
2018-11-20,-936.4400000000003
2018-11-21,-931.935
2018-11-22,-1268.3300000000002
2018-11-26,-929.185
2018-11-27,-931.4549999999999
2018-11-28,-935.9549999999999
2018-11-29,-939.29
2018-11-30,-944.1899999999999
2018-12-03,-946.64
2018-12-04,-944.3249999999999
2018-12-05,-940.935
2018-12-06,-668.5049999999819
2018-12-07,-931.8299999999999
2018-12-10,-926.8250000000003
2018-12-11,520.1850000000095
2018-12-12,505.8099999999913
2018-12-13,-939.935
2018-12-14,-937.7400000000002
2018-12-17,-943.0
2018-12-18,-941.6600000000001
2018-12-19,-947.1250000000001
2018-12-20,-944.7000000000003
2018-12-21,1040.5600000000009
2018-12-24,-936.7049999999999
2018-12-26,-435.3200000000188
2018-12-27,-941.14
2018-12-28,-941.665
2018-12-31,-945.9899999999998
2019-01-01,-943.745
2019-01-02,-1712.769999999982
2019-01-03,-937.97
2019-01-04,-935.575
2019-01-07,-940.9749999999999
2019-01-08,-937.4299999999998
2019-01-09,-3340.799999999991
2019-01-10,-941.98
2019-01-11,-2122.1149999999725
2019-01-14,-937.6149999999999
2019-01-15,-756.8099999999731
2019-01-16,-945.575
2019-01-17,-946.1999999999998
2019-01-18,-945.8899999999999
2019-01-21,-945.1250000000001
2019-01-22,-946.5899999999999
2019-01-23,-1181.0249999999915
2019-01-24,-941.67
2019-01-25,-662.8899999999721
2019-01-28,-1290.5699999999633
2019-01-29,-931.04
2019-01-30,-934.6399999999999
2019-01-31,-144.85000000003674
2019-02-01,-2630.5249999999996
2019-02-04,-942.5600000000002
2019-02-05,-946.2750000000001
2019-02-06,-948.885
2019-02-07,-953.605
2019-02-08,-951.25
2019-02-11,-944.6949999999999
2019-02-12,-944.615
2019-02-13,-859.3400000000092
2019-02-14,-938.8550000000001
2019-02-15,-3491.464999999973
2019-02-18,-994.1450000000277
2019-02-19,-932.7800000000001
2019-02-20,-933.155
2019-02-21,-936.7149999999999
2019-02-22,-938.675
2019-02-25,-941.0850000000003
2019-02-26,-941.1000000000001
2019-02-27,-1446.8449999999636
2019-02-28,-942.1949999999998
2019-03-01,-942.6400000000001
2019-03-05,375.72500000001855
2019-03-06,-951.725
2019-03-07,-952.985
2019-03-08,-951.34
2019-03-11,-954.3750000000002
2019-03-12,-962.6500000000001
2019-03-13,-964.3500000000001
2019-03-14,-968.6500000000001
2019-03-15,-969.6999999999998
2019-03-18,-975.4899999999999
2019-03-19,-973.9850000000004
2019-03-20,-976.6400000000001
2019-03-22,-1378.0200000000002
2019-03-25,-968.21
2019-03-26,-696.3400000000092
2019-03-27,-1393.6250000000184
2019-03-28,-362.7399999999643
2019-03-29,-980.71
2019-04-01,-983.325
2019-04-02,-984.04
2019-04-03,-712.6099999999997
2019-04-04,-982.5949999999998
2019-04-05,-981.5150000000001
2019-04-08,-1651.940000000018
2019-04-09,-1001.3400000000356
2019-04-10,-982.74
2019-04-11,-979.0300000000001
2019-04-12,-980.79
2019-04-15,-983.2650000000001
2019-04-16,-986.96
2019-04-18,-991.1199999999999
2019-04-22,-984.1700000000001
2019-04-23,-980.1300000000001
2019-04-24,-780.6599999999999
2019-04-25,-985.9250000000002
2019-04-26,-983.9100000000001
