Date,Entry Time,Entry Price,Exit Time Long,Exit Time Short,Exit Price Long,Exit Price Short,P&L Long,P&L Short,Total P&L
2018-03-08,09:16:00,10230.8,15:25:00,15:25:00,10229.9,10229.9,-22.499999999990905,22.499999999990905,0.0
2018-03-09,09:16:00,10272.2,15:25:00,15:25:00,10235.3,10235.3,-922.5000000000364,922.5000000000364,0.0
2018-03-12,09:16:00,10315.3,15:25:00,15:07:00,10421.5,10419.8,2655.000000000018,-2612.5,42.50000000001819
2018-03-13,09:16:00,10412.0,15:25:00,15:25:00,10424.9,10424.9,322.4999999999909,-322.4999999999909,0.0
2018-03-14,09:16:00,10399.7,15:25:00,15:25:00,10416.3,10416.3,414.9999999999636,-414.9999999999636,0.0
2018-03-15,09:16:00,10396.3,15:25:00,15:25:00,10350.3,10350.3,-1150.0,1150.0,0.0
2018-03-16,09:16:00,10329.1,14:15:00,15:25:00,10223.0,10206.3,-2652.500000000009,3070.0000000000273,417.5000000000182
2018-03-19,09:16:00,10223.2,12:45:00,15:25:00,10121.9,10094.6,-2532.5000000000273,3215.000000000009,682.4999999999818
2018-03-20,09:16:00,10070.6,15:25:00,15:25:00,10138.8,10138.8,1704.9999999999727,-1704.9999999999727,0.0
2018-03-21,09:16:00,10185.7,15:25:00,15:25:00,10155.4,10155.4,-757.5000000000273,757.5000000000273,0.0
2018-03-22,09:16:00,10163.6,15:25:00,15:25:00,10111.0,10111.0,-1315.000000000009,1315.000000000009,0.0
2018-03-23,09:16:00,9994.55,15:25:00,15:25:00,9983.85,9983.85,-267.4999999999727,267.4999999999727,0.0
2018-03-26,09:16:00,10003.3,15:25:00,14:48:00,10134.0,10104.2,3267.500000000018,-2522.5000000000364,744.9999999999818
2018-03-27,09:16:00,10184.2,15:25:00,15:25:00,10180.3,10180.3,-97.50000000003638,97.50000000003638,0.0
2018-03-28,09:16:00,10126.6,15:25:00,15:25:00,10109.0,10109.0,-440.0000000000091,440.0000000000091,0.0
2018-04-02,09:16:00,10157.7,15:25:00,15:25:00,10214.0,10214.0,1407.4999999999818,-1407.4999999999818,0.0
2018-04-03,09:16:00,10214.0,15:25:00,15:25:00,10251.0,10251.0,925.0,-925.0,0.0
2018-04-04,09:16:00,10250.5,13:40:00,15:25:00,10139.5,10131.0,-2775.0,2987.5,212.5
2018-04-05,09:16:00,10250.2,15:25:00,15:25:00,10325.4,10325.4,1879.9999999999727,-1879.9999999999727,0.0
2018-04-06,09:16:00,10309.0,15:25:00,15:25:00,10322.3,10322.3,332.4999999999818,-332.4999999999818,0.0
2018-04-09,09:16:00,10345.4,15:25:00,15:25:00,10368.5,10368.5,577.5000000000091,-577.5000000000091,0.0
2018-04-10,09:16:00,10415.2,15:25:00,15:25:00,10405.4,10405.4,-245.00000000002728,245.00000000002728,0.0
2018-04-11,09:16:00,10406.0,15:25:00,15:25:00,10414.0,10414.0,200.0,-200.0,0.0
2018-04-12,09:16:00,10407.7,15:25:00,15:25:00,10459.4,10459.4,1292.4999999999727,-1292.4999999999727,0.0
2018-04-13,09:16:00,10488.2,15:25:00,15:25:00,10480.3,10480.3,-197.50000000003638,197.50000000003638,0.0
2018-04-16,09:16:00,10420.5,15:25:00,14:34:00,10532.2,10523.2,2792.500000000018,-2567.500000000018,225.0
2018-04-17,09:16:00,10532.8,15:25:00,15:25:00,10546.6,10546.6,345.0000000000273,-345.0000000000273,0.0
2018-04-18,09:16:00,10563.5,15:25:00,15:25:00,10539.3,10539.3,-605.0000000000182,605.0000000000182,0.0
2018-04-19,09:16:00,10561.3,15:25:00,15:25:00,10567.5,10567.5,155.0000000000182,-155.0000000000182,0.0
2018-04-20,09:16:00,10560.9,15:25:00,15:25:00,10578.8,10578.8,447.4999999999909,-447.4999999999909,0.0
2018-04-23,09:16:00,10572.8,15:25:00,15:25:00,10582.2,10582.2,235.00000000003638,-235.00000000003638,0.0
2018-04-24,09:16:00,10602.5,15:25:00,15:25:00,10611.3,10611.3,219.9999999999818,-219.9999999999818,0.0
2018-04-25,09:16:00,10596.0,15:25:00,15:25:00,10567.3,10567.3,-717.5000000000182,717.5000000000182,0.0
2018-04-26,09:16:00,10582.5,15:25:00,15:25:00,10619.5,10619.5,925.0,-925.0,0.0
2018-04-27,09:16:00,10662.6,15:25:00,15:25:00,10696.5,10696.5,847.4999999999909,-847.4999999999909,0.0
2018-04-30,09:16:00,10742.0,15:25:00,15:25:00,10741.1,10741.1,-22.499999999990905,22.499999999990905,0.0
2018-05-02,09:16:00,10764.0,15:25:00,15:25:00,10720.1,10720.1,-1097.499999999991,1097.499999999991,0.0
2018-05-03,09:16:00,10705.8,15:25:00,15:25:00,10671.3,10671.3,-862.5,862.5,0.0
